Population,Poverty Count,poverty_male,poverty_female,poverty_white_alone,poverty_black_alone,population_american_indian_alone,poverty_asian_alone,poverty_native_hawaiian_alone,poverty_two_or_more_races,poverty_hispanic_origin,poverty_family,poverty_family_single_male,poverty_family_single_female,employment_labor_force,employment_not_labor_force,employment_employed,employment_unemployed,Zipcode,Poverty Rate,index,City,County,Type
58738.0,18654.0,8736.0,9918.0,5512.0,1982.0,57.0,24.0,0.0,182.0,16506.0,3338.0,540.0,1497.0,26104.0,16142.0,23182.0,2922.0,90001,31.757976097245393,1,Los Angeles,Los Angeles,Standard
52856.0,17795.0,7735.0,10060.0,6049.0,3905.0,270.0,110.0,0.0,249.0,13282.0,3324.0,294.0,1773.0,21617.0,16206.0,18957.0,2660.0,90002,33.666944150143784,2,Los Angeles,Los Angeles,Standard
70490.0,23212.0,10498.0,12714.0,5133.0,6757.0,241.0,28.0,0.0,253.0,16346.0,4225.0,522.0,2313.0,30590.0,19607.0,26755.0,3835.0,90003,32.92949354518371,3,Los Angeles,Los Angeles,Standard
62733.0,11985.0,5475.0,6510.0,5027.0,643.0,34.0,2403.0,0.0,225.0,7424.0,2010.0,342.0,811.0,36889.0,15009.0,34265.0,2624.0,90004,19.10477738989049,4,Los Angeles,Los Angeles,Standard
39562.0,11300.0,4979.0,6321.0,2302.0,815.0,44.0,2798.0,0.0,131.0,7176.0,2044.0,329.0,986.0,23470.0,9063.0,21430.0,2040.0,90005,28.562762246600272,5,Los Angeles,Los Angeles,Standard
62329.0,17720.0,8223.0,9497.0,5404.0,603.0,270.0,1933.0,9.0,271.0,14607.0,3241.0,698.0,1465.0,34851.0,14334.0,31431.0,3413.0,90006,28.429783888719538,6,Los Angeles,Los Angeles,Standard
41221.0,16513.0,7917.0,8596.0,4486.0,1731.0,85.0,4717.0,127.0,485.0,6717.0,1669.0,214.0,840.0,18803.0,16933.0,16373.0,2426.0,90007,40.059678319303266,7,Los Angeles,Los Angeles,Standard
32359.0,7207.0,2945.0,4262.0,1492.0,4755.0,0.0,177.0,35.0,160.0,2053.0,1241.0,176.0,713.0,16304.0,10795.0,14512.0,1792.0,90008,22.272010877962853,8,Los Angeles,Los Angeles,Standard
3759.0,535.0,283.0,252.0,51.0,15.0,0.0,398.0,0.0,10.0,70.0,119.0,33.0,20.0,2263.0,1285.0,2084.0,179.0,90010,14.232508645916468,10,Los Angeles,Los Angeles,Standard
108051.0,38839.0,17507.0,21332.0,14461.0,3584.0,344.0,121.0,16.0,218.0,34887.0,7435.0,1249.0,3695.0,48603.0,28309.0,44628.0,3954.0,90011,35.94506297951893,11,Los Angeles,Los Angeles,Standard
