Population,Poverty Count,poverty_male,poverty_female,poverty_white_alone,poverty_black_alone,population_american_indian_alone,poverty_asian_alone,poverty_native_hawaiian_alone,poverty_two_or_more_races,poverty_hispanic_origin,poverty_family,poverty_family_single_male,poverty_family_single_female,employment_labor_force,employment_not_labor_force,employment_employed,employment_unemployed,Zipcode,Poverty Rate,index,City,County,Type
54760.0,17496.0,7700.0,9796.0,10023.0,1444.0,37.0,10.0,0.0,196.0,15895.0,3576.0,687.0,1665.0,23755.0,14832.0,20844.0,2911.0,90001,31.950328707085465,1,Los Angeles,Los Angeles,Standard
49475.0,17116.0,7753.0,9363.0,8262.0,5242.0,76.0,22.0,2.0,216.0,11384.0,3234.0,439.0,1775.0,18883.0,15064.0,16323.0,2560.0,90002,34.59525012632643,2,Los Angeles,Los Angeles,Standard
66200.0,25832.0,11625.0,14207.0,5648.0,7478.0,185.0,28.0,19.0,365.0,17948.0,4959.0,738.0,2737.0,26638.0,18813.0,22346.0,4263.0,90003,39.02114803625378,3,Los Angeles,Los Angeles,Standard
62760.0,15350.0,7134.0,8216.0,5002.0,790.0,27.0,2494.0,10.0,148.0,10267.0,2735.0,332.0,1286.0,37615.0,14039.0,32207.0,5395.0,90004,24.458253664754622,4,Los Angeles,Los Angeles,Standard
39548.0,10496.0,4904.0,5592.0,2296.0,392.0,77.0,2516.0,7.0,185.0,7038.0,1891.0,367.0,860.0,23323.0,8652.0,20520.0,2803.0,90005,26.53990087994336,5,Los Angeles,Los Angeles,Standard
59498.0,18666.0,8887.0,9779.0,4998.0,685.0,108.0,1934.0,170.0,268.0,15293.0,3858.0,790.0,1616.0,33581.0,13493.0,28810.0,4771.0,90006,31.372483108675922,6,Los Angeles,Los Angeles,Standard
43173.0,17031.0,8166.0,8865.0,5420.0,1565.0,50.0,3696.0,105.0,312.0,8240.0,1990.0,360.0,941.0,19704.0,17249.0,17013.0,2691.0,90007,39.44826627753457,7,Los Angeles,Los Angeles,Standard
33280.0,8955.0,3327.0,5628.0,1396.0,5389.0,0.0,127.0,47.0,255.0,3169.0,1631.0,174.0,974.0,15383.0,11452.0,12855.0,2506.0,90008,26.908052884615383,8,Los Angeles,Los Angeles,Standard
4133.0,746.0,285.0,461.0,54.0,16.0,0.0,510.0,0.0,74.0,118.0,108.0,40.0,26.0,2709.0,1160.0,2521.0,188.0,90010,18.049842729252358,10,Los Angeles,Los Angeles,Standard
100882.0,43450.0,20153.0,23297.0,9640.0,3267.0,242.0,149.0,32.0,440.0,39598.0,7902.0,1228.0,3774.0,43124.0,27670.0,38577.0,4547.0,90011,43.070121528121966,11,Los Angeles,Los Angeles,Standard
29528.0,7566.0,3165.0,4401.0,1042.0,244.0,19.0,4792.0,35.0,27.0,2023.0,1334.0,116.0,524.0,10740.0,15934.0,9969.0,750.0,90012,25.62313736114874,12,Los Angeles,Los Angeles,Standard
10256.0,4809.0,2913.0,1896.0,1206.0,2081.0,115.0,507.0,0.0,224.0,1202.0,42.0,0.0,20.0,4935.0,4958.0,3886.0,1049.0,90013,46.8896255850234,13,Los Angeles,Los Angeles,Standard
6008.0,2713.0,1627.0,1086.0,817.0,1064.0,9.0,396.0,32.0,119.0,553.0,60.0,0.0,24.0,3250.0,2590.0,2770.0,480.0,90014,45.156458055925434,14,Los Angeles,Los Angeles,Standard
18358.0,5908.0,2793.0,3115.0,1498.0,382.0,103.0,630.0,18.0,89.0,4439.0,966.0,93.0,542.0,9767.0,5015.0,8421.0,1336.0,90015,32.182154918836474,15,Los Angeles,Los Angeles,Standard
47273.0,10516.0,4637.0,5879.0,2736.0,4452.0,86.0,222.0,0.0,473.0,5407.0,2021.0,347.0,1037.0,24860.0,12412.0,21671.0,3169.0,90016,22.24525627736763,16,Los Angeles,Los Angeles,Standard
23755.0,11957.0,6123.0,5834.0,2730.0,685.0,225.0,1043.0,12.0,273.0,9356.0,2189.0,323.0,593.0,11867.0,7049.0,10909.0,948.0,90017,50.334666386024,17,Los Angeles,Los Angeles,Standard
48498.0,13527.0,5637.0,7890.0,2015.0,4770.0,77.0,406.0,0.0,496.0,7829.0,2525.0,235.0,1569.0,23738.0,14031.0,20130.0,3608.0,90018,27.891871829766178,18,Los Angeles,Los Angeles,Standard
65408.0,14873.0,6975.0,7898.0,6433.0,2829.0,107.0,1022.0,0.0,315.0,9898.0,2766.0,290.0,1335.0,36328.0,16336.0,32226.0,4102.0,90019,22.738808708414872,19,Los Angeles,Los Angeles,Standard
39866.0,7416.0,3053.0,4363.0,1996.0,244.0,71.0,2925.0,0.0,170.0,3476.0,1497.0,158.0,641.0,24088.0,9263.0,20839.0,3247.0,90020,18.602317764511113,20,Los Angeles,Los Angeles,Standard
2940.0,1281.0,1013.0,268.0,456.0,458.0,0.0,6.0,0.0,88.0,505.0,52.0,29.0,11.0,1472.0,1260.0,1216.0,256.0,90021,43.57142857142857,21,Los Angeles,Los Angeles,Standard
70147.0,17296.0,7624.0,9672.0,11819.0,141.0,90.0,37.0,0.0,380.0,16943.0,3498.0,513.0,1613.0,32427.0,19531.0,28075.0,4352.0,90022,24.656792165024875,22,Los Angeles,Los Angeles,Standard
45126.0,14755.0,6948.0,7807.0,5336.0,122.0,220.0,153.0,0.0,177.0,14303.0,2768.0,342.0,1094.0,19564.0,13280.0,17294.0,2270.0,90023,32.69733634711696,23,Los Angeles,Los Angeles,Standard
